name,class,degree,ring,NetRank,NetShort,HeatDiff,InfoDiff
A1BG,0,7,3,2.998811e+00,9.155249e+01,2.290818e-06,9.903379e-06
ANXA7,0,102,3,2.995735e+00,9.359927e+01,8.273855e-05,9.112199e-05
CDKN1A,0,182,2,1.991675e+00,4.420494e+02,2.765161e-03,2.988671e-03
GRB7,0,42,3,2.998127e+00,9.292377e+01,3.770380e-05,7.761608e-05
SMN1,0,152,3,2.999001e+00,9.405291e+01,5.778780e-05,1.309949e-04
SNCA,0,65,3,2.996763e+00,9.313312e+01,1.021930e-04,1.862447e-04
TK1,0,163,3,2.996335e+00,9.459753e+01,1.060575e-04,1.292775e-04
CRISP3,0,1,4,3.998811e+00,6.179344e+01,2.691639e-08,1.688649e-08
A2M,0,74,2,1.979525e+00,3.926290e+02,1.399384e-02,4.223574e-03
AMBP,0,14,3,2.997383e+00,9.232600e+01,3.147638e-05,3.489708e-05
ANXA6,0,81,3,2.994745e+00,9.328587e+01,2.832436e-04,4.040119e-04
APOE,0,36,3,2.997893e+00,9.238107e+01,8.004867e-05,6.707037e-05
APP,0,142,3,2.997180e+00,9.484346e+01,3.012350e-04,1.985119e-04
KLK3,0,22,3,2.996603e+00,9.239379e+01,8.413893e-05,6.035626e-05
B2M,0,27,3,2.998042e+00,9.229997e+01,3.653994e-05,4.425069e-05
CDC42,0,202,3,2.993395e+00,9.499035e+01,1.190423e-03,2.663881e-04
FARSA,0,7,3,2.997075e+00,9.118858e+01,2.523093e-05,1.204407e-05
GCDH,0,28,3,2.997844e+00,9.235080e+01,3.210449e-05,3.828411e-05
GEM,0,50,2,1.969697e+00,4.419892e+02,2.695306e-03,3.875141e-03
GRB2,0,870,2,1.993034e+00,5.897533e+02,1.322044e-02,3.754282e-03
H2AFX,0,142,3,2.994325e+00,9.332477e+01,2.590596e-04,6.118337e-04
HMOX2,0,39,3,2.992249e+00,9.304846e+01,1.434795e-04,5.912864e-05
HSPA5,0,211,2,1.985628e+00,5.487692e+02,2.521694e-03,4.351465e-03
IFIT3,0,17,3,2.988893e+00,9.172173e+01,6.443291e-05,2.366701e-05
IL1B,0,14,3,2.990574e+00,9.187332e+01,1.059371e-04,5.342421e-05
IL4,0,10,3,2.984711e+00,9.134836e+01,1.970240e-04,3.518734e-05
IL10,0,7,3,2.989884e+00,9.172864e+01,5.192361e-05,5.172602e-05
KLK2,0,13,3,2.997869e+00,9.180397e+01,2.593195e-05,1.884954e-05
LCAT,0,13,3,2.997703e+00,9.180142e+01,3.133605e-05,2.511122e-05
LEP,0,10,3,2.996920e+00,9.178688e+01,2.690198e-05,1.921296e-05
LRP1,0,69,2,1.978041e+00,3.926309e+02,1.401006e-02,4.291823e-03
MMP2,0,39,3,2.997129e+00,9.247104e+01,1.235159e-04,5.393539e-05
MYOC,0,37,2,1.959050e+00,4.730208e+02,1.320825e-03,3.230958e-03
NGF,0,12,3,2.997315e+00,9.166820e+01,2.741034e-05,2.001233e-05
NOS3,0,60,3,2.998303e+00,9.284188e+01,5.075111e-05,9.823667e-05
